question,truth
0,1
1,0
2,0
3,0
4,1
5,1
6,0
7,1
8,0
9,1
10,1
11,0
12,0
13,1
14,0
15,1
16,1
17,0
18,0
19,0
20,1
21,1
22,0
23,1
24,1
25,1
26,1
27,0
28,1
29,1
30,0
31,1
32,1
33,1
34,0
35,0
36,0
37,0
38,1
39,0
40,1
41,0
42,0
43,0
44,1
45,0
46,1
47,0
48,1
49,0
50,1
51,0
52,1
53,0
54,1
55,0
56,0
57,0
58,1
59,0
60,1
61,1
62,0
63,1
64,1
65,1
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,1
74,1
75,0
76,0
77,1
78,1
79,0
80,1
81,0
82,0
83,0
84,1
85,1
86,0
87,1
88,1
89,0
90,0
91,1
92,0
93,1
94,1
95,1
96,0
97,0
98,0
99,0
100,0
101,0
102,1
103,0
104,0
105,0
106,0
107,1
108,1
109,1
110,1
111,1
112,0
113,1
114,1
115,1
116,0
117,1
118,0
119,1
120,0
121,0
122,1
123,0
124,1
125,1
126,1
127,0
128,1
129,0
130,0
131,0
132,1
133,1
134,1
135,1
136,1
137,0
138,1
139,0
140,1
141,0
142,0
143,0
144,0
145,1
146,1
147,1
148,1
149,0
150,0
151,0
152,0
153,0
154,1
155,1
156,0
157,1
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,1
166,1
167,0
168,0
169,1
170,0
171,1
172,1
173,1
174,0
175,0
176,1
177,1
178,0
179,1
180,1
181,0
182,0
183,0
184,1
185,0
186,1
187,1
188,1
189,1
190,1
191,1
192,1
193,0
194,0
195,1
196,0
197,1
198,0
199,0
200,1
201,0
202,1
203,0
204,1
205,0
206,1
207,0
208,1
209,1
210,0
211,0
212,0
213,0
214,1
215,0
216,1
217,0
218,0
219,0
220,1
221,1
222,1
223,1
224,0
225,0
226,0
227,1
228,1
229,1
230,1
231,1
232,1
233,1
234,0
235,1
236,0
237,1
238,0
239,0
240,1
241,0
242,1
243,0
244,1
245,1
246,1
247,1
248,0
249,0
250,1
251,1
252,1
253,0
254,1
255,1
256,0
257,1
258,0
259,1
260,0
261,1
262,1
263,0
264,0
265,0
266,0
267,0
268,0
269,0
270,0
271,0
272,1
273,1
274,1
275,1
276,1
277,1
278,1
279,0
280,0
281,1
282,1
283,1
284,0
285,1
286,1
287,1
288,0
289,0
290,1
291,0
292,0
293,1
294,0
295,0
296,1
297,1
298,1
299,1
300,0
301,1
302,1
303,0
304,0
305,0
306,1
307,1
308,0
309,1
310,1
311,1
312,0
313,1
314,0
315,1
316,0
317,1
318,1
319,0
320,0
321,0
322,0
323,0
324,1
325,0
326,1
327,0
328,0
329,0
330,0
331,0
332,0
333,1
334,0
335,1
336,0
337,0
338,0
339,1
340,1
341,0
342,1
343,1
344,1
345,1
346,0
347,1
348,0
349,0
350,0
351,0
352,0
353,1
354,0
355,0
356,1
357,1
358,0
359,1
360,0
361,1
362,1
363,0
364,1
365,1
366,1
367,0
368,0
369,0
370,1
371,1
372,1
373,0
374,1
375,1
376,0
377,0
378,1
379,0
380,0
381,0
382,1
383,1
384,1
385,0
386,0
387,0
388,1
389,1
390,1
391,1
392,1
393,0
394,1
395,1
396,0
397,1
398,0
399,0
400,0
401,0
402,0
403,1
404,0
405,0
406,0
407,0
408,1
409,0
410,1
411,1
412,0
413,0
414,1
415,0
416,1
417,1
418,0
419,1
420,1
421,0
422,0
423,1
424,1
425,1
426,1
427,0
428,0
429,0
430,0
431,0
432,0
433,1
434,0
435,0
436,1
437,0
438,0
439,0
440,1
441,1
442,0
443,0
444,1
445,0
446,1
447,1
448,0
449,1
450,1
451,0
452,1
453,0
454,1
455,1
456,1
457,0
458,1
459,1
460,1
461,1
462,0
463,1
464,1
465,1
466,1
467,0
468,0
469,0
470,1
471,1
472,1
473,0
474,1
475,0
476,0
477,0
478,0
479,1
480,0
481,0
482,0
483,0
484,1
485,1
486,0
487,1
488,1
489,0
490,0
491,0
492,0
493,0
494,0
495,0
496,1
497,0
498,1
499,1
500,1
501,0
502,0
503,0
504,0
505,1
506,1
507,0
508,0
509,0
510,1
511,1
512,1
513,0
514,1
515,1
516,1
517,1
518,1
519,1
520,0
521,1
522,1
523,0
524,0
525,1
526,0
527,0
528,1
529,1
530,0
531,0
532,1
533,0
534,0
535,1
536,0
537,1
538,0
539,1
540,0
541,1
542,0
543,1
544,0
545,0
546,1
547,0
548,0
549,1
550,0
551,0
552,1
553,0
554,0
555,0
556,0
557,1
558,1
559,0
560,1
561,1
562,1
563,0
564,1
565,0
566,1
567,1
568,1
569,0
570,0
571,1
572,0
573,1
574,1
575,0
576,1
577,1
578,1
579,1
580,1
581,0
582,0
583,1
584,1
585,0
586,1
587,0
588,0
589,0
590,0
591,0
592,0
593,0
594,1
595,0
596,0
597,1
598,0
599,1
600,1
601,1
602,1
603,0
604,1
605,0
606,0
607,0
608,0
609,1
610,0
611,0
612,0
613,0
614,0
615,0
616,0
617,1
618,1
619,0
620,1
621,0
622,1
623,0
624,0
625,1
626,1
627,1
628,1
629,0
630,0
631,0
632,0
633,0
634,0
635,0
636,1
637,1
638,1
639,1
640,0
641,0
642,1
643,1
644,0
645,0
646,1
647,1
648,0
649,0
650,0
651,1
652,0
653,0
654,1
655,0
656,0
657,1
658,1
659,0
660,0
661,1
662,0
663,0
664,0
665,0
666,0
667,1
668,1
669,0
670,1
671,0
672,1
673,0
674,1
675,0
676,1
677,0
678,0
679,1
680,1
681,0
682,0
683,1
684,1
685,1
686,0
687,0
688,0
689,1
690,0
691,1
692,1
693,0
694,1
695,0
696,0
697,1
698,0
699,0
700,1
701,0
702,0
703,1
704,0
705,1
706,0
707,1
708,1
709,1
710,0
711,1
712,0
713,1
714,0
715,1
716,1
717,0
718,1
719,0
720,0
721,0
722,1
723,0
724,1
725,1
726,0
727,1
728,1
729,1
730,0
731,0
732,0
733,0
734,0
735,1
736,1
737,1
738,0
739,0
740,0
741,0
742,0
743,0
744,1
745,0
746,0
747,0
748,0
749,0
750,0
751,1
752,1
753,1
754,1
755,1
756,0
757,1
758,0
759,0
760,1
761,0
762,1
763,0
764,1
765,0
766,0
767,0
768,0
769,0
770,1
771,1
772,1
773,0
774,1
775,0
776,0
777,0
778,1
779,1
780,1
781,1
782,1
783,1
784,0
785,1
786,0
787,0
788,0
789,1
790,0
791,0
792,1
793,0
794,0
795,0
796,0
797,1
798,1
799,0
800,1
801,1
802,0
803,0
804,1
805,1
806,1
807,1
808,0
809,0
810,0
811,0
812,0
813,0
814,1
815,1
816,0
817,1
818,1
819,0
820,0
821,0
822,0
823,0
824,0
825,0
826,1
827,0
828,1
829,0
830,0
831,0
832,1
833,1
834,1
835,1
836,0
837,0
838,1
839,1
840,1
841,0
842,0
843,0
844,1
845,0
846,0
847,0
848,0
849,1
850,0
851,0
852,1
853,0
854,0
855,0
856,1
857,1
858,0
859,0
860,1
861,0
862,0
863,0
864,1
865,0
866,0
867,1
868,0
869,0
870,0
871,1
872,1
873,0
874,1
875,0
876,0
877,1
878,1
879,1
880,0
881,1
882,1
883,0
884,0
885,0
886,1
887,1
888,0
889,0
890,1
891,1
892,1
893,1
894,0
895,0
896,0
897,1
898,0
899,1
900,0
901,1
902,0
903,1
904,1
905,1
906,1
907,0
908,0
909,0
910,0
911,0
912,1
913,0
914,1
915,0
916,0
917,1
918,0
919,1
920,0
921,0
922,1
923,0
924,0
925,1
926,0
927,1
928,0
929,1
930,1
931,0
932,0
933,1
934,1
935,0
936,0
937,0
938,0
939,0
940,0
941,1
942,0
943,0
944,1
945,0
946,0
947,0
948,0
949,0
950,1
951,1
952,0
953,0
954,1
955,0
956,0
957,1
958,0
959,0
960,0
961,1
962,1
963,0
964,1
965,1
966,1
967,1
968,1
969,0
970,0
971,0
972,1
973,1
974,1
975,0
976,1
977,1
978,1
979,0
980,1
981,1
982,0
983,1
984,1
985,0
986,1
987,0
988,1
989,0
990,1
991,1
992,0
993,1
994,0
995,0
996,1
997,1
998,0
999,1
